id,name,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
binance-peg-weth,Binance-Peg WETH,3299.44,1996494251,-2.93476,4098.26,2171.8,25-01-2025
lombard-staked-btc,Lombard Staked BTC,104454.0,1863465861,-0.60875,108719.0,52119.0,25-01-2025
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,3403.09,1852711184,-3.2838,4216.2,2069.62,25-01-2025
binance-staked-sol,Binance Staked SOL,257.1,1840972976,-4.05388,297.96,127.32,25-01-2025
first-digital-usd,First Digital USD,0.998967,1832927666,-0.05203,1.089,0.940377,25-01-2025
lido-dao,Lido DAO,2.0,1781379334,-0.4206,7.3,0.40615,25-01-2025
xdce-crowd-sale,XDC Network,0.112825,1773609604,-1.79014,0.192754,0.00039532,25-01-2025
the-graph,The Graph,0.183683,1750125288,-4.81456,2.84,0.052051,25-01-2025
sonic-3,Sonic (prev. FTM),0.540052,1717644340,-4.98669,1.029,0.498836,25-01-2025
rocket-pool-eth,Rocket Pool ETH,3688.56,1683951412,-2.74958,4814.31,887.26,25-01-2025
fasttoken,Fasttoken,3.91,1673946737,0.80439,3.93,0.398142,25-01-2025
kucoin-shares,KuCoin,13.3,1631409278,8.07435,28.83,0.342863,25-01-2025
quant-network,Quant,109.94,1604140854,2.28547,427.42,0.215773,25-01-2025
movement,Movement,0.682146,1554170254,1.3042,1.45,0.597911,25-01-2025
mantle-staked-ether,Mantle Staked Ether,3480.04,1541441832,-3.19617,4729.53,2142.02,25-01-2025
sei-network,Sei,0.343637,1519180621,-2.62352,1.14,0.095364,25-01-2025
flare-networks,Flare,0.02632858,1504590489,-2.34308,0.150073,0.00827405,25-01-2025
susds,sUSDS,1.03,1480315743,-0.127,1.062,0.961716,25-01-2025
pudgy-penguins,Pudgy Penguins,0.02323103,1447104470,-7.72194,0.068447,0.01141,25-01-2025
nexo,NEXO,1.41,1413454537,-3.76981,4.07,0.04515276,25-01-2025
gala,GALA,0.0324423,1379098038,-2.5525,0.824837,0.00013475,25-01-2025
solv-btc,Solv Protocol SolvBTC,104267.0,1378219037,-0.28899,108929.0,49058.0,25-01-2025
the-sandbox,The Sandbox,0.557466,1362745114,-1.29705,8.4,0.02897764,25-01-2025
jasmycoin,JasmyCoin,0.02806951,1341975682,3.25737,4.79,0.00275026,25-01-2025
floki,FLOKI,0.0001384,1338959460,-3.02739,0.00034495,8.428e-08,25-01-2025
msol,Marinade Staked SOL,313.18,1338783000,-4.36297,363.77,8.93,25-01-2025
dogwifcoin,dogwifhat,1.3,1288178672,-9.28543,4.83,0.00155464,25-01-2025
usual-usd,Usual USD,0.999054,1239319541,0.00234,1.33,0.976415,25-01-2025
eos,EOS,0.802628,1217929598,-0.98097,22.71,0.402746,25-01-2025
kaia,Kaia,0.207753,1216205118,-2.2061,0.406698,0.113064,25-01-2025
fartcoin,Fartcoin,1.22,1211192890,-14.39552,2.48,0.02002855,25-01-2025
tezos,Tezos,1.16,1190913090,-1.87541,9.12,0.350476,25-01-2025
iota,IOTA,0.322592,1165686216,-0.79044,5.25,0.081637,25-01-2025
ethereum-name-service,Ethereum Name Service,34.2,1134589693,-7.10506,83.4,6.69,25-01-2025
pyth-network,Pyth Network,0.313087,1132978069,-3.29785,1.2,0.22352,25-01-2025
dexe,DeXe,19.64,1124590513,-0.83952,32.38,0.671563,25-01-2025
spx6900,SPX6900,1.2,1116424222,-11.99672,1.72,0.00131808,25-01-2025
maker,Maker,1255.57,1115811105,-1.86417,6292.31,168.36,25-01-2025
solv-protocol-solvbtc-bbn,Solv Protocol SolvBTC.BBN,103747.0,1078772896,-0.28258,117077.0,11402.13,25-01-2025
flow,Flow,0.680013,1058952282,-2.3095,42.4,0.391969,25-01-2025
bittorrent,BitTorrent,1.08e-06,1048014856,0.08642,3.43e-06,3.65368e-07,25-01-2025
curve-dao-token,Curve DAO,0.818507,1033678523,1.90715,15.37,0.180354,25-01-2025
bitcoin-cash-sv,Bitcoin SV,51.82,1027596046,-0.15188,489.75,21.43,25-01-2025
neo,NEO,13.89,979807867,-3.18183,198.38,0.078349,25-01-2025
jupiter-staked-sol,Jupiter Staked SOL,268.29,975328716,-4.25753,309.67,114.32,25-01-2025
beam-2,Beam,0.01824718,958057175,-4.95353,0.04416304,0.0043383,25-01-2025
arweave,Arweave,14.45,943670591,-4.6904,89.24,0.298788,25-01-2025
renzo-restaked-eth,Renzo Restaked ETH,3409.84,935822563,-2.88812,4207.05,2198.04,25-01-2025
axie-infinity,Axie Infinity,5.72,902413989,-4.31619,164.9,0.123718,25-01-2025
aioz-network,AIOZ Network,0.789471,901194045,-3.81551,2.65,0.01099588,25-01-2025
binance-peg-dogecoin,Binance-Peg Dogecoin,0.35082,899486721,-1.7069,0.480585,0.04955727,25-01-2025
ai16z,ai16z,0.821827,892257552,-6.49589,2.47,0.010189,25-01-2025
decentraland,Decentraland,0.476632,889837888,-1.73619,5.85,0.00923681,25-01-2025
starknet,Starknet,0.365548,879412890,-4.75166,4.41,0.321161,25-01-2025
based-brett,Brett,0.088272,874028153,-1.51147,0.234204,0.00084753,25-01-2025
arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),104143.0,854877624,-0.84159,108397.0,49594.0,25-01-2025
wbnb,Wrapped BNB,684.06,841740329,-0.80211,789.32,23.6,25-01-2025
